Subcategory,Category,Brand Description,Size (ml),Per Case,Product Code,Case Price (VAT Excl),Case Price (VAT Incl),Bottle Price (VAT Excl),Bottle Price (VAT Incl),UPC,MSRP Price (Bottle)
Port/Madeira,Fortified Wine,Porto Cruz Ruby 750x6,750,6,PCI-RUBY-750x6,795.94,895.43,132.66,149.24,3147690015649.0,186.55
Port/Madeira,Fortified Wine,Porto Cruz Spec. Reserv w/Wooden Box,750,6,PCI-SRWB-750x6,990.08,1113.84,165.01,185.64,3147690024804.0,232.05
Port/Madeira,Fortified Wine,Porto Cruz Tawny 750x6,750,6,PCI-TAWN-750x6,774.59,871.41,129.1,145.24,3147690015700.0,182.65
Port/Madeira,Fortified Wine,Porto Cruz White 750x6,750,6,PCI-WHIT-750x6,604.14,675.46,100.02,111.23,3147690089803.0,135.95
Champagne,Sparkling Wine,Bollinger La Grande Annee 2012,750,6,CHB-GANN-750x6,3787.56,4261.01,631.26,710.17,3052853083119.0,709.99
Champagne,Sparkling Wine,Bollinger La Grande Annee Rose 2012,750,6,CHB-GANR-750x6,6673.78,7508.0,1112.3,1251.33,3052853083324.0,885.99
Champagne,Sparkling Wine,Bollinger Rose-1500x3,1500,3,CHB-BROS-1500x3,4553.78,5123.0,1517.93,1707.67,,2134.99
Champagne,Sparkling Wine,Bollinger Grand Annee 2012 in Gift Box,750,6,CHB-GANN-750x6,3787.56,4261.01,631.26,710.17,3052853083119.0,709.99
Champagne,Sparkling Wine,Bollinger RD 2007,750,3,CHB-RDGX-750x3,4771.15,5372.0,1591.7,1790.67,52853083850.0,1193.99
Champagne,Sparkling Wine,Bollinger RD 2007 Magnum,1500,1,CHB-MAWX-1500x1,2951.11,3302.0,2951.11,3302.0,3052853083898.0,2421.99
Champagne,Sparkling Wine,Bollinger Rose,750,6,CHB-BROS-750x6,3652.44,4109.0,608.74,685.0,3052853083821.0,817.99
Champagne,Sparkling Wine,Bollinger Rose Magnums,1500,3,CHB-RMAG-1500x3,4710.22,5299.0,1570.07,1766.33,3052853083821.0,2148.99
Champagne,Sparkling Wine,Bollinger Special Cuvee Brut,750,6,CHB-BRUT-750x6,3539.56,3982.01,589.93,664.0,3052853074957.0,589.99
Champagne,Sparkling Wine,Bollinger Special Cuvee Brut 1500,1500,3,CHB-BRLE-1500x3,4133.33,4650.0,1377.78,1550.0,3052853075099.0,1059.0
Champagne,Sparkling Wine,Piper-Heidsieck Cuvee Brut Champagne,750,6,PIPH-BRUT-750x6,3458.67,3891.0,576.45,648.5,,762.99
Champagne,Sparkling Wine,Piper-Heidsieck Rose Sauvage Champagne,750,6,PIPH-ROSE-750x6,3458.67,3891.0,576.45,648.5,3018330000117.0,762.99
Champagne,Sparkling Wine,L’Hoste Brut Rose,750,6,CLH-BROS-750x6,2336.89,2629.0,389.48,437.18,3594940000017.0,547.99
Champagne,Sparkling Wine,L’Hoste Brut Tradition,750,6,CLH-BRAD-750x6,2038.23,2294.0,367.56,413.04,3594940000048.0,512.99
Champagne,Sparkling Wine,L’Hoste Demi Sec,750,6,CLH-DEMI-750x6,2038.23,2294.0,339.7,382.17,3594940000048.0,512.99
Uncategorized,Uncategorized,Baron M Jardin D’Amore Cote du Provence,750,6,MAR-BJAP-750x6,1045.33,1176.0,174.22,196.0,3760373800481.0,245.0
